ip,asn,org,country,ports,domains
109.244.51.148,AS45090,"Tencent Cloud Computing (Beijing) Co., Ltd",CN,8443,hydtzdj.com;mx.hydtzdj.com
109.248.4.148,AS213780,Individual Entrepreneur Suvorov Maxim Sergeevich,RU,8443,craft.pe;mail.craft.pe
109.71.244.24,AS9123,TimeWeb Ltd.,NL,443,hornigan.pro;mail.hornigan.pro
109.73.206.58,AS9123,TimeWeb Ltd.,RU,443,cifraco.ru;mail.cifraco.ru
109.90.85.115,AS3209,Vodafone West GmbH,DE,443,lrk.sh;mail.lrk.sh
109.93.199.73,AS8400,"Telekom Srbija, ADSL users",RS,443,109-93-199-73.static.isp.telekom.rs;archive.msteam021.com;msteam021.com;telekom.rs
110.172.148.8,AS40994,"Alwyzon, a trading name of Hohl IT e.U.",AT,443,bintrail.com;mail.bintrail.com
110.232.114.126,AS133159,Mammoth Media Pty Ltd,AU,8443,debian2.linko.technology;linko.technology;mail.linko.technology
110.238.106.10,AS136907,Huawei Cloud Singapore Region,SG,443,mail.mengdie.com;mengdie.com
110.40.180.243,AS45090,"Tencent cloud computing (Beijing) Co., Ltd.",CN,443,chennn.com;mail.chennn.com
110.41.9.108,AS55990,Huawei Public Cloud Service (Huawei Software Technologies Ltd.Co),CN,443,ecs-110-41-9-108.compute.hwclouds-dns.com;hwclouds-dns.com;xcan.cloud
111.1.180.70,AS56041,China Mobile Communications Corporation,CN,9096,
111.119.211.70,AS136907,Huawei-Cloud-SG,SG,443,bolelabs.com;ecs-111-119-211-70.compute.hwclouds-dns.com;hwclouds-dns.com;mail.bolelabs.com
111.119.244.213,AS136907,Huawei-Cloud-SG,SG,443,mail.shoptk.fun;shoptk.fun
111.35.64.240,AS24444,China Mobile Communications Corporation,CN,443,mail.miit-crceit.cn;miit-crceit.cn
111.69.49.101,AS23655,Blenheim,NZ,32080,dishtv.co.nz;mail.dishtv.co.nz
112.124.36.215,AS37963,"Aliyun Computing Co., LTD",CN,443,fuzhouwenhe.com;mail.fuzhouwenhe.com
112.196.5.29,AS17917,Patiala,IN,8443,bosselt.com;mymail.bosselt.com
